#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/notification,,IDS_TPLATFORM_BODY_PROVIDING_NOTIFICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SHOW_AND_HIDE_ITS_OWN_NOTIFICATIONS_AND_BADGES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2,2.1,yes,http://tizen.org/privilege/notification.read,,IDS_TPLATFORM_HEADER_RETRIEVING_NOTIFICATION_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_INFORMATION_ABOUT_NOTIFICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/notification,http://tizen.org/privilege/notification
mobile,wrt,public,2,2.1,yes,http://tizen.org/privilege/notification.write,,IDS_TPLATFORM_HEADER_MANAGING_NOTIFICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_DISPLAY_EDIT_AND_DELETE_NOTIFICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/notification,http://tizen.org/privilege/notification
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/package.info,,IDS_TPLATFORM_BODY_RECEIVING_PACKAGE_INFORMATION,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_RECEIVE_PACKAGE_INFORMATION,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,platform,2.1,9.9,yes,http://tizen.org/privilege/packagemanager.install,,IDS_TPLATFORM_BODY_MANAGING_PACKAGES,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_INSTALL_OR_UNINSTALL_APPLICATION_PACKAGES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/poi,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/poi.read,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/poi.write,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,2,9.9,yes,http://tizen.org/privilege/power,,IDS_TPLATFORM_BODY_MANAGING_POWER,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_CONTROL_POWER_RELATED_SETTINGS_SUCH_AS_DIMMING_THE_SCREEN,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/push,,IDS_TPLATFORM_BODY_RECEIVING_PUSH_NOTIFICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RECEIVE_NOTIFICATIONS_VIA_THE_INTERNET_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/push,,IDS_TPLATFORM_BODY_RECEIVING_PUSH_NOTIFICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RECEIVE_NOTIFICATIONS_VIA_THE_INTERNET_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
common,wrt,public,1,1,yes,http://tizen.org/privilege/route,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/secureelement,,IDS_TPLATFORM_BODY_ACCESSING_SECURE_ELEMENTS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_ACCESS_SECURE_SMART_CARD_CHIPS_SUCH_AS_UICC_SIM_EMBEDDED_SECURE_ELEMENTS_AND_SECURE_SD_CARDS,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/secureelement,,IDS_TPLATFORM_BODY_ACCESSING_SECURE_ELEMENTS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_ACCESS_SECURE_SMART_CARD_CHIPS_SUCH_AS_UICC_SIM_EMBEDDED_SECURE_ELEMENTS_AND_SECURE_SD_CARDS,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,2,9.9,yes,http://tizen.org/privilege/setting,,IDS_TPLATFORM_BODY_ACCESSING_USER_SETTINGS,IDS_TPLATFORM_SBODY_THIS_APPLICATION_CAN_CHANGE_AND_READ_USER_SETTINGS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/system,,IDS_TPLATFORM_BODY_READING_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,1,2.1,yes,http://tizen.org/privilege/systeminfo,,IDS_TPLATFORM_BODY_READING_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/system or http://tizen.org/privilege/telephony,http://tizen.org/privilege/system or http://tizen.org/privilege/telephony
common,wrt,partner,2.1,2.3.1,yes,http://tizen.org/privilege/systemmanager,,IDS_TPLATFORM_BODY_READING_SECURE_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_SECURE_SYSTEM_INFORMATION,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/telephony,http://tizen.org/privilege/telephony
common,wrt,public,2.3.1,9.9,yes,http://tizen.org/privilege/telephony,,IDS_TPLATFORM_BODY_ACCESSING_TELEPHONY_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RETRIEVE_TELEPHONY_INFORMATION_SUCH_AS_THE_NETWORK_AND_SIM_CARD_USED_THE_IMEI_AND_THE_STATUSES_OF_CALLS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/time,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/time.read,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/time.write,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2.1,yes,http://tizen.org/privilege/tizen,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/system or http://tizen.org/privilege/telephony,http://tizen.org/privilege/system or http://tizen.org/privilege/telephony
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/unlimitedstorage,,IDS_TPLATFORM_BODY_ACCESSING_UNLIMITED_STORAGE,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SAVE_ITS_CONTENT_TO_YOUR_DEVICE_STORAGE_OR_EXTERNAL_STORAGE_LOCATIONS_SUCH_AS_SD_CARDS_WITH_NO_LIMIT_ON_THE_CONTENTS_SIZE,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/volume.set,,IDS_TPLATFORM_HEADER_ADJUSTING_VOLUME,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ADJUST_THE_VOLUME_FOR_DIFFERENT_FEATURES_SUCH_AS_NOTIFICATION_ALERTS_RINGTONES_AND_MEDIA,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2.2,2.4,yes,http://tizen.org/privilege/websetting,,IDS_TPLATFORM_BODY_MANAGING_WEB_APPLICATION_SETTINGS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CHANGE_ITS_WEB_APPLICATION_SETTINGS_INCLUDING_DELETING_ITS_COOKIES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
