#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
mobile,wrt,public,2,9.9,yes,http://tizen.org/privilege/callhistory.write,,IDS_TPLATFORM_BODY_MANAGING_CALL_LOGS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CREATE_UPDATE_AND_DELETE_CALL_LOG_ITEMS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
wearable,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/camera,,IDS_TPLATFORM_BODY_USING_CAMERA,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_TAKE_PICTURES_AND_TURN_THE_CAMERA_FLASH_ON_AND_OFF_WHILE_USING_CAMERA,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/contact,,,,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,http://tizen.org/privilege/contact.read or http://tizen.org/privilege/contact.write,http://tizen.org/privilege/contact.read or http://tizen.org/privilege/contact.write
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/contact.read,,IDS_TPLATFORM_BODY_READING_CONTACTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_YOUR_PROFILE_CONTACTS_AND_CONTACT_HISTORY_CONTACT_HISTORY_CAN_INCLUDE_SOCIAL_NETWORK_ACTIVITY,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/contact.write,,IDS_TPLATFORM_BODY_MANAGING_CONTACTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CREATE_UPDATE_AND_DELETE_YOUR_PROFILE_CONTACTS_AND_ANY_CONTACT_HISTORY_MSG,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
common,wrt,public,2,9.9,yes,http://tizen.org/privilege/content.read,,IDS_TPLATFORM_BODY_READING_CONTENT,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_MEDIA_CONTENT_INFORMATION,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
common,wrt,public,2,9.9,yes,http://tizen.org/privilege/content.write,,IDS_TPLATFORM_BODY_MANAGING_CONTENT,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CHANGE_MEDIA_INFORMATION_THIS_INFORMATION_CAN_BE_USED_BY_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
common,wrt,public,3,9.9,yes,http://tizen.org/privilege/d2d.datasharing,,IDS_TPLATFORM_HEADER_SHARING_DATA_WITH_OTHER_DEVICES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SHARE_DATA_WITH_OTHER_DEVICES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/datacontrol.consumer,,IDS_TPLATFORM_BODY_ACCESSING_EXPORTED_DATA,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_DATA_EXPORTED_BY_DATA_CONTROL_PROVIDERS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,wrt,public,2.3.2,9.9,yes,http://tizen.org/privilege/datacontrol.consumer,,IDS_TPLATFORM_BODY_ACCESSING_EXPORTED_DATA,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_DATA_EXPORTED_BY_DATA_CONTROL_PROVIDERS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/datasync,,IDS_TPLATFORM_BODY_SYNCING_DEVICE_DATA,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SYNC_DEVICE_DATA_SUCH_AS_CONTACTS_AND_CALENDAR_EVENTS_USING_THE_OMA_DS_12_PROTOCOL_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,2,9.9,yes,http://tizen.org/privilege/download,,IDS_TPLATFORM_BODY_DOWNLOADING_VIA_HTTP,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_HTTP_DOWNLOADS_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/filesystem,,,,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,http://tizen.org/privilege/filesystem.read or http://tizen.org/privilege/filesystem.write,http://tizen.org/privilege/filesystem.read or http://tizen.org/privilege/filesystem.write
common,wrt,public,1,9.9,yes,http://tizen.org/privilege/filesystem.read,,IDS_TPLATFORM_BODY_READING_FILE_SYSTEMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_FILE_SYSTEMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,9.9,yes,http://tizen.org/privilege/filesystem.write,,IDS_TPLATFORM_BODY_WRITING_TO_FILE_SYSTEMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_WRITE_TO_FILE_SYSTEMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/fullscreen,,IDS_TPLATFORM_HEADER_USING_FULL_SCREEN_VIEW,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_FULL_SCREEN_VIEW,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/geocoder,,,,IDS_TPLATFORM_OPT_LOCATION_T_LBS,http://tizen.org/privilege/location,http://tizen.org/privilege/location
common,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/healthinfo,,IDS_TPLATFORM_HEADER_READING_HEALTH_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_HEALTH_INFORMATION_GATHERED_BY_THE_DEVICE_SENSORS_SUCH_AS_THE_PEDOMETER_AND_THE_HEART_RATE_MONITOR,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
common,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/internet,,IDS_TPLATFORM_BODY_ACCESSING_INTERNET,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ACCESS_THE_INTERNET_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
common,wrt,public,2.4,9.9,yes,http://tizen.org/privilege/ime,,IDS_TPLATFORM_HEADER_PROVIDING_INPUT_METHODS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_PROVIDE_USERS_WITH_A_WAY_TO_ENTER_CHARACTERS_AND_SYMBOLS_INTO_AN_ASSOCIATED_TEXT_FIELD,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,3,9.9,yes,http://tizen.org/privilege/keymanager,,IDS_TPLATFORM_BODY_USING_SECURE_REPOSITORY_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SAVE_KEYS_CERTIFICATES_AND_DATA_TO_AND_RETRIEVE_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/lbs,,,,IDS_TPLATFORM_OPT_LOCATION_T_LBS,http://tizen.org/privilege/location,http://tizen.org/privilege/location
common,wrt,public,2.4,9.9,yes,http://tizen.org/privilege/led,,IDS_TPLATFORM_BODY_MANAGING_LEDS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_TURN_LEDS_ON_OR_OFF_SUCH_AS_THE_LED_ON_THE_FRONT_OF_THE_DEVICE_AND_THE_CAMERA_FLASH,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/location,,IDS_TPLATFORM_BODY_USING_USER_LOCATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_YOUR_LOCATION_DATA,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/map,,,,IDS_TPLATFORM_OPT_LOCATION_T_LBS,http://tizen.org/privilege/location,http://tizen.org/privilege/location
