#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#IS_PRIVACY,#PRIVACY_GROUP,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/email,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_EMAIL_ACCOUNTS_MAILBOXES_AND_EMAILS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_YOUR_EMAIL_ACCOUNTS_INCLUDING_YOUR_FOLDERS_AND_EMAILS_POP3_AND_IMAP_DOWNLOADS_AND_SMTP_UPLOADS_MSG,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
mobile,core,platform,2.3,9.9,yes,http://tizen.org/privilege/email.admin,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_EMAIL_CONFIGURATIONS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_THE_SETTINGS_OF_EMAIL_APPLICATIONS,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/externalstorage,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_EXTERNAL_STORAGE_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_FILES_THAT_ARE_SAVED_TO_EXTERNAL_STORAGE_SUCH_AS_SD_CARDS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/externalstorage,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_EXTERNAL_STORAGE_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_FILES_THAT_ARE_SAVED_TO_EXTERNAL_STORAGE_SUCH_AS_SD_CARDS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/externalstorage.appdata,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_APPLICATION_DATA_IN_EXTERNAL_STORAGE_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_ITS_OWN_FILES_IN_EXTERNAL_STORAGE_SUCH_AS_SD_CARDS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/externalstorage.appdata,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_APPLICATION_DATA_IN_EXTERNAL_STORAGE_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_ITS_OWN_FILES_IN_EXTERNAL_STORAGE_SUCH_AS_SD_CARDS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/haptic,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_VIBRATION_FEEDBACK_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CONTROL_VIBRATION_FEEDBACK,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/haptic,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_VIBRATION_FEEDBACK_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CONTROL_VIBRATION_FEEDBACK,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/healthinfo,yes,SENSOR,,IDS_TPLATFORM_HEADER_READING_HEALTH_INFORMATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_HEALTH_INFORMATION_GATHERED_BY_THE_DEVICE_SENSORS_SUCH_AS_THE_PEDOMETER_AND_THE_HEART_RATE_MONITOR,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/ime,no,N/A,,IDS_TPLATFORM_HEADER_PROVIDING_INPUT_METHODS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_PROVIDE_USERS_WITH_A_WAY_TO_ENTER_CHARACTERS_AND_SYMBOLS_INTO_AN_ASSOCIATED_TEXT_FIELD,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/ime,no,N/A,,IDS_TPLATFORM_HEADER_PROVIDING_INPUT_METHODS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_PROVIDE_USERS_WITH_A_WAY_TO_ENTER_CHARACTERS_AND_SYMBOLS_INTO_AN_ASSOCIATED_TEXT_FIELD,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/imemanager,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_INPUT_METHODS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_INSTALLED_INPUT_METHODS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/imemanager,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_INPUT_METHODS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_INSTALLED_INPUT_METHODS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,platform,2.4,9.9,yes,http://tizen.org/privilege/inputgenerator,no,N/A,,IDS_TPLATFORM_HEADER_GENERATING_TOUCH_AND_KEY_EVENTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SIMULATE_KEYS_BEING_PRESSED_AND_TOUCH_INTERACTIONS_WITH_THE_SCREEN,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,platform,3,9.9,yes,http://tizen.org/privilege/inputgenerator,no,N/A,,IDS_TPLATFORM_HEADER_GENERATING_TOUCH_AND_KEY_EVENTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SIMULATE_KEYS_BEING_PRESSED_AND_TOUCH_INTERACTIONS_WITH_THE_SCREEN,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/internet,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_INTERNET,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ACCESS_THE_INTERNET_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/internet,no,N/A,,IDS_TPLATFORM_BODY_ACCESSING_INTERNET,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_ACCESS_THE_INTERNET_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,,
mobile,core,platform,2.4,9.9,yes,http://tizen.org/privilege/keygrab,no,N/A,,IDS_TPLATFORM_HEADER_CAPTURING_SPECIAL_KEY_EVENTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_ACTIONS_INVOLVING_SPECIAL_KEYS_SUCH_AS_THE_VOLUME_KEYS_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,platform,3,9.9,yes,http://tizen.org/privilege/keygrab,no,N/A,,IDS_TPLATFORM_HEADER_CAPTURING_SPECIAL_KEY_EVENTS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_ACTIONS_INVOLVING_SPECIAL_KEYS_SUCH_AS_THE_VOLUME_KEYS_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.3,3,yes,http://tizen.org/privilege/keymanager,no,N/A,,IDS_TPLATFORM_BODY_USING_SECURE_REPOSITORY_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SAVE_KEYS_CERTIFICATES_AND_DATA_TO_AND_RETRIEVE_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,3,yes,http://tizen.org/privilege/keymanager,no,N/A,,IDS_TPLATFORM_BODY_USING_SECURE_REPOSITORY_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SAVE_KEYS_CERTIFICATES_AND_DATA_TO_AND_RETRIEVE_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,platform,2.3,2.4,yes,http://tizen.org/privilege/keymanager.admin,no,N/A,,IDS_TPLATFORM_BODY_LOCKING_UNLOCKING_SECURE_REPOSITORY_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_LOCK_AND_UNLOCK_PASSWORD_PROTECTED_STORAGE_AND_MANAGE_PASSWORD_CHANGES_FOR_IT,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,platform,2.3.1,3,yes,http://tizen.org/privilege/keymanager.admin,no,N/A,,IDS_TPLATFORM_BODY_LOCKING_UNLOCKING_SECURE_REPOSITORY_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_LOCK_AND_UNLOCK_PASSWORD_PROTECTED_STORAGE_AND_MANAGE_PASSWORD_CHANGES_FOR_IT,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/led,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_LEDS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_TURN_LEDS_ON_OR_OFF_SUCH_AS_THE_LED_ON_THE_FRONT_OF_THE_DEVICE_AND_THE_CAMERA_FLASH,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/led,no,N/A,,IDS_TPLATFORM_BODY_MANAGING_LEDS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_TURN_LEDS_ON_OR_OFF_SUCH_AS_THE_LED_ON_THE_FRONT_OF_THE_DEVICE_AND_THE_CAMERA_FLASH,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/location,yes,LOCATION,,IDS_TPLATFORM_BODY_USING_USER_LOCATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_YOUR_LOCATION_DATA,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/location,yes,LOCATION,,IDS_TPLATFORM_BODY_USING_USER_LOCATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_YOUR_LOCATION_DATA,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
common,core,public,3,9.9,yes,http://tizen.org/privilege/location.coarse,yes,LOCATION,,IDS_TPLATFORM_HEADER_DETERMINING_APPROXIMATE_LOCATION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_DETERMINE_YOUR_APPROXIMATE_LOCATION_INCLUDING_YOUR_DEVICES_MSG,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
mobile,core,platform,2.3,9.9,yes,http://tizen.org/privilege/location.enable,yes,LOCATION,,IDS_TPLATFORM_BODY_MANAGING_LOCATION_SETTINGS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CONTROL_YOUR_LOCATION_SERVICE_SETTINGS,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
wearable,core,platform,2.3.1,9.9,yes,http://tizen.org/privilege/location.enable,yes,LOCATION,,IDS_TPLATFORM_BODY_MANAGING_LOCATION_SETTINGS_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CONTROL_YOUR_LOCATION_SERVICE_SETTINGS,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/mapservice,no,N/A,,IDS_TPLATFORM_HEADER_USING_MAP_SERVICES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_MAP_SERVICES_SUCH_AS_GEOCODER_PLACES_AND_ROUTE_HDIRECTION,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
