#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#IS_PRIVACY,#PRIVACY_GROUP,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/mapservice,no,N/A,,IDS_TPLATFORM_HEADER_USING_MAP_SERVICES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_USE_MAP_SERVICES_SUCH_AS_GEOCODER_PLACES_AND_ROUTE_HDIRECTION,IDS_TPLATFORM_OPT_LOCATION_T_LBS,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/mediacontroller.client,no,N/A,,IDS_TPLATFORM_HEADER_CONTROLLING_MEDIA_PLAYER,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RECEIVE_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_FROM_APPLICATIONS_THAT_ARE_ALLOWED_TO_SEND_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/mediacontroller.client,no,N/A,,IDS_TPLATFORM_HEADER_CONTROLLING_MEDIA_PLAYER,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RECEIVE_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_FROM_APPLICATIONS_THAT_ARE_ALLOWED_TO_SEND_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/mediacontroller.server,no,N/A,,IDS_TPLATFORM_HEADER_ACCEPTING_REMOTE_CONTROLS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SEND_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_TO_APPLICATIONS_THAT_ARE_ALLOWED_TO_RECEIVE_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
wearable,core,public,3,9.9,yes,http://tizen.org/privilege/mediacontroller.server,no,N/A,,IDS_TPLATFORM_HEADER_ACCEPTING_REMOTE_CONTROLS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SEND_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_TO_APPLICATIONS_THAT_ARE_ALLOWED_TO_RECEIVE_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
mobile,core,public,2.4,9.9,yes,http://tizen.org/privilege/mediahistory.read,yes,USERHISTORY,,IDS_TPLATFORM_HEADER_READING_MEDIA_PLAYBACK_STATISTICS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_THE_STATISTICS_CONCERNING_THE_MUSIC_AND_VIDEOS_PLAYED_ON_THE_DEVICE_SUCH_AS_THE_PEAK_TIMES_FOR_PLAYING_MUSIC_OR_VIDEOS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/mediastorage,no,N/A,,IDS_TPLATFORM_HEADER_ACCESSING_MEDIA_FOLDERS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_FILES_IN_MEDIA_FOLDERS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/mediastorage,no,N/A,,IDS_TPLATFORM_HEADER_ACCESSING_MEDIA_FOLDERS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_AND_WRITE_FILES_IN_MEDIA_FOLDERS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
mobile,core,public,2.3,9.9,yes,http://tizen.org/privilege/message.read,yes,MESSAGE,,IDS_TPLATFORM_BODY_READING_TEXT_AND_MULTIMEDIA_MESSAGES_AND_RELATED_INFORMATION_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_TEXT_AND_MULTIMEDIA_MESSAGES_AND_ANY_INFORMATION_RELATED_TO_THEM,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
wearable,core,public,2.3.1,9.9,yes,http://tizen.org/privilege/message.read,yes,MESSAGE,,IDS_TPLATFORM_BODY_READING_TEXT_AND_MULTIMEDIA_MESSAGES_AND_RELATED_INFORMATION_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_TEXT_AND_MULTIMEDIA_MESSAGES_AND_ANY_INFORMATION_RELATED_TO_THEM,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,,
